Artikelnummer;Artikelname
A06494;MINOLA Champignons geschnitten 3. Wahl - ATG 1380g
A07803;Akustikpaneel MDF Walnuss, Filz Schwarz - 2800x600x21mm
A05982;Röstzwiebel - 500g
A00026;Pfand H1 Palette - 70 €
A04601;Milram Edamer 40% Blockware - *ca.15kg
A04602;Milram Edamer 40% Brotware - *ca.3kg
A03546;Tadim Arpa Sehriye - 500g
A06259;Frisch Kartoffeln - 10kg
A00002;Pfand Glas - 0,15 €
A00003;Pfand Dose/PET - 0,25 €
A00004;Pfand Kiste - 1,50 €
A02207;Angostura Reserva 37,5%vol. - 0,7L
A02211;Bacardi Superior Rum 44,5%vol. - 0,7L
A03432;Bio Weizenmehl (Typ550) - 10x1kg
A99997;Rückvergütung (Lieferant) - 19% USt.
A07504;Auflaufform Porzellan - 28x17x5cm - 8832
A00054;Pfand Kiste 20er (Bügelverschluss) - 4,50 €
A00059;Leergut Kiste 20er (Bügelverschluss) - 4,50 €
A20000;GRATISWARE (4+1) - Glas Mezzo Mix - 24x0,33L
A20002;GRATISWARE (2+1) - Pet Coca-Cola Zero - 12x0,5L
A20003;GRATISWARE (4+1) - Dose Fanta Lemon - 24x0,33L
A10510;TK Hähnchen-Döner Spieß (halal) - 15kg
A06597;PEPER Peperoni grün mit Stiel No1 - ATG 6kg
A06598;PEPER Peperoni grün OHNE Stiel - ATG 6kg
A09399;Pizza Box PizzaOki 28x4 - 100Stk.
A09556;Servietten 1/4 Falz weiß 33x33cm - 9x420Stk./6kg
A09765;Fuji Fettlöser Sari Ixir - 1L
A01438;Pet Dolu Wasser still - 24x0,5L
A06261;Frisch Latuga Salat
A04028;Frisch Kalbsoberschale hell ca. 5kg vac. - *per kg
A04029;TK Weideschaflachse NZL - *ca. 1kg - *per kg
A04038;TK Rinderbäckchen Irland - *ca. 2,5kg - *per kg
A04040;Frisch Schweineoberschale ohne Deckel - ca. 1,6kg vac. - *per kg
A11450;TK Bindi Cannolo Siciliano - 10x120g
A04030;TK Weideschafkeule ohne Knochen NZL ca. 2,5kg - *per kg
A04032;TK Baby-Top vom Rind Brasilien ca. 1,8kg - *per kg
A04042;TK Gebratene Ente ohne Knochen 575-685g, 16 st. China - 10kg
A11451;TK Bindi Panna Cotta con Caramello - 12x110g
A11458;TK Bindi Torta Ricotta e Pistacchio - 1100g
A11459;TK Bindi Torta della Nonna - 1300g
A09995;TK Schulstad Brioche Hamburgerbrötchen ohne Sesam - 24x85g
A11433;TK Sommerland Kokosnuss mit Eis gefüllt - 8x150ml
A11190;(X)TK Aviko Herzoginnenkartoffeln - 2,5kg
A10220;TK Mora Käse Soufles - 8x65g
A10221;TK Mora Kipfingers - 24x16g
A10222;(X)TK Mora Bitterballen Rind Snack Kugeln - 20x20g
A04243;Coati Salami Napoli - *ca. 1,5kg
A04244;Coati Salami Ventricina Piccante - *ca. 1,5kg
A04245;Coati Mortadella Bologna (Schwein) - *ca. 3,5kg
A06277;Frisch Trauben rot&kernlos - *per kg
A06280;Frisch Pfefferoni rot - *per kg
A06278;Frisch Trauben weiß&kernlos - *per kg
A06282;Frisch Pfefferoni grün - *per kg
A06284;Frisch Chicoree - *per kg
A06285;Frisch Feldsalat per Kiste
A06287;Frisch Süßkartoffeln (300-450gr) - 6kg
A06289;Frisch Honigmelone per Stk.
A06290;Frisch Cantaloupe-Melone per Stk.
A06291;Frisch Artischocken per Stk.
A06292;Frisch Broccoli per Stk. - 500g
A06294;Frisch Ananas per Stk.
A06295;Frisch Avocados per Stk.
A06296;Frisch Mango per Stk.
A06298;Frisch Papaya per Stk.
A06371;Frisch Radicchio - 3kg
A06372;Frisch Kräutersaitlinge - 1kg
A06374;Frisch Sakura Kresse
A04246;San Michele Original Parmaschinken DOP 1/1 - *ca. 8kg
A04044;TK Tomahawk vom Kalb - 500g
A09785;"SLEEPY Oberflächenreinigungstücher ""grün"" - 100Stk."
A04829;Milchwolke H-Milch 3,5% - 10L
A00063;"Leergut Kiste ""Italien Inside"" 20er - 4,00 €"
A08231;(B)TOP Klarsichtbecher+Deckel (125ml) eckig - 250Stk.
A10158;(B) TK Sprehe Chicken Crossies mit roter Panade - 3kg
A09018;(X)YOU TASTE Bäckerbeutel 2-farbig 11+4x23cm - 1000Stk.
A05530;Elite Jamballasauce - 2,5kg
A06293;Frisch Friseesalat per Stk.
A06299;Frisch Drachenfrucht/Pitahaya per Stk.
A06373;Frisch Gartenkresse
A06190;Frisch Orangen - *per kg
A11338;TK Surgital Ravioloni Ricotta mit Büffelmozzarella - 2kg
A10923;TK Seeteufelschwänze ganz - *ca. 1,3kg - *per kg
A01136;Glas Lifeup Cherry - 24x0,33L
A04128;Luftgetrockneter Bauchspeck Magretta Scotennata - *ca. 1,4kg
A04684;Parmesankäse Parmigiano Reggiano - *ca.2,5kg
A04685;Ricotta Salata (Molkenkäse aus Schafsmilch) - *ca. 750g
A08798;"Burgerbox Pappe ""klein"", 102x105x80mm - 100Stk."
A99998;Einmalartikel 19%
A06272;Frisch Blumenkohl per Stk.
A04681;Galbani Bel Paese - *ca. 2,5kg
A08910;Suppenbecher IP16 weiß - 50Stk.
A04430;(B) Damhus Bratwurst im Naturdarm - 30x120g
A03448;(B) Frießinger Pizzamehl (Typ00) - 10kg
A03449;(B) Frießinger Pizzamehl (Typ00) - 25kg
A03451;(B) Mühlen König Weizenmehl (Typ405) - 10x1kg
A04045;TK Ossobuco/Beinscheibe vom Kalb in Sauce gegart - *ca. 500g
A08916;Menüschale 608 (Siegelschale) Gr. D 1-fach weiß - 100Stk.
A10515;TK Kalbsdöner-Drehspieß aus Hackfleisch (halal) - 5kg
A10517;TK Kalbsdöner-Drehspieß aus Hackfleisch (halal) - 15kg
A00062;"Pfand Kiste ""Italien Inside"" 20er - 4,00 €"
A03998;Frisch Hähnchenfilet Supreme mit Haut&Knochen - 10kg
A06183;Frisch Chinakohl - per Stk.
A06182;(B)Frisch Mini Pak Choi - *per kg
A04047;TK Kalbsleber in Scheiben - 10x175g
A10516;TK Kalbsdöner-Drehspieß aus Hackfleisch (halal) - 10kg
A03086;Salice Salentino Riserva DOC rot&trocken 13,5%vol. (IT) - 0,75L
A04224;Serrano Schinken 1/2 - *ca.2,2kg
A02828;Fontana Candida Frascati DOC T.D. Grifi weiß&trocken 13%vol. (IT) - 0,75L
A08918;"Kombiverpackung Sushi Schale & Deckel ""Nr. 15"" - 5x100Stk."
A08923;"Kombiverpackung Sushi Schale & Deckel ""Nr. 18"" - 2x100Stk."
A08924;"Kombiverpackung Sushi Schale & Deckel ""Nr. 19"" - 6x100Stk."
A09455;Duni Servietten 2-lagig 1/8 Falz weiß 33x33cm - 250Stk.
A03499;Barilla Linguine n13 - 5kg
A10020;TK Baguettebrot halbgebacken - 30x280g
A04228;Chorizo spanische Paprikawurst in Scheiben (mild) - 500g
A11236;(X)TK Lamb Weston Stealth Fries Skin on 6mm - 2,5kg
A02823;Altesino Brunello di Montalcino DOCG rot&trocken 14,5%vol. (IT) - 0,75L
A02509;Antinori Cont'Ugo Bolgheri rot&trocken 14,5%vol. (IT) - 0,75L
A03431;Ährenkrone Weizenmehl (Typ405) - 10x1kg
A12007;TK Ardo Kohlrabistreifen 8x8xLänge - 2,5kg
A12014;TK Ardo Heidelbeeren Wild- 2,5kg
A12021;TK Ardo Halbe Süssmaiskolben - 2,5kg
A12022;TK Ardo Galamix - 2,5kg
A12024;TK Ardo Ananas Stücke - 2,5kg
A12025;TK Ardo Edamame Sojabohnen - 1kg
A12030;TK Ardo Corn Cobs Maisrippchen 1/4 Längsschnitt - 2,5kg
A12042;TK Ardo Romanescoröschen 30/60 - 2,5kg
A04599;Gransormani ital. Hartkäse 1/16 - *ca. 2kg
A12039;TK Ardo Tropischer Fruchtsalat - 2,5kg
A00031;Leergut Bier Flasche - 0,08 €
A00034;Leergut Kiste - 1,50 €
A00035;Leergut Bier Flasche mit Bügelverschluss - 0,15 €
A00036;Leergut Kiste 6er - 2,40 €
A00039;Leergut Kiste 24er - 3,42 €
A00032;Leergut Glas - 0,15 €
A00033;Leergut Dose/PET - 0,25 €
A00040;Leergut Kiste 16er - 3,90 €
A00041;Leergut Kiste 11er - 4,25 €
A00042;Leergut Glas - 0,10 €
A00045;Leergut Fass - 30 €
A00046;Leergut Kiste 28er - 3,74 €
A00047;Leergut Kiste 12er (Bügelverschluss) - 3,30 €
A00048;Leergut Kiste 12er - 2,46 €
A06297;Frisch Feigen per Stk.
A04046;TK Kalbs-Bacon in Scheiben - 650g
A02821;Campo dei Gigli Amarone DOC rot&trocken 16%vol. (IT) - 0,75L
A06184;Frisch Pak Choi - per Stk.
A04212;San Daniele Italienischer Rohschinken/Prosciutto Crudo - *ca. 6kg
A06378;Frisch Eichblattsalat rot per Stk.
A06380;Frisch Kiwi grün per Stk.
A03087;Salice Salentino Riserva DOC rot&trocken 13,5%vol. (IT) - 1,5L
A01063;Dose Afri Cola - 24x0,33L
A01064;Dose Afri Cola ohne Zucker - 24x0,33L
A09081;Pizza-Taschen mit Druck 30x30cm - 100Stk.
A10021;TK Gourmetbrot halbgebacken - 20x415g
A10022;TK Bäckerbrötchen halbgebacken - 80x83g
A02508;Librandi Duca Sanfelice Ciro Rosso 13%vol. - 1,5L
A03321;Sells Rice Basmati Reis - 10kg
A08799;"Burgerbox Pappe ""mittel"", 115x115x90mm - 100Stk."
A04815;Parmesankäse Grana Padano D.O.P - *ca. 40kg
A99991;Einmalartikel 7%
A03134;Toschi Topping Caffe - 1L
A02973;Gerovassiliou Malagouzia weiß&trocken 13,5%vol. (GR) - 0,75L
A00060;"Pfand Kiste ""Italien Inside"" - 2,40 €"
A04816;Parmesankäse halber Laib Grana Padano D.O.P - *ca. 19,5kg
A01150;Glas Selters Medium - 12x0,75L
A01151;Glas Selters Medium - 24x0,25L
A03327;Khushboo Gold Basmati Reis - 20kg
A04910;(B)Frisch Aviko Pommes Plus 14mm - 2x5kg
A99992;Werbekostenzuschuss (Lieferant)
A05075;(B) Deutsche Markenbutter - 4x2,5kg
A02822;Selezione Castagnedi Amarone DOC rot&trocken 15%vol. (IT) - 0,75L
A03920;Frisch Lachs Ganz 4/5 - *per kg
A03088;Salice Salentino Riserva DOC rot&trocken 13,5%vol. (IT) - 3L
A03090;Five Roses Rosato Salento IGT rose&trocken 12%vol. (IT) - 0,75L
A04048;TK Gebratene Ente ohne Knochen 500-575g, 18 st. China - 10kg
A02829;Fontana Candida Frascati DOC weiß&trocken 12%vol. (IT) - 1,5L
A06075;Hela Safranfäden naturell - 10g
A03089;Villa Santera Primitivo di Manduria DOC rot&trocken 15%vol. (IT) - 0,75L
A04049;Frisch Kalbsrücken rosa *per kg
A10673;(B) TK Chef Patrick's Chicken Inner Filet paniert (halal) - 1kg
A10670;TK Martin's Potato Sandwich Rolls 100mm - 48x60g
A10671;(B) TK Smashed Beef Burger 48x130g (halal) - 6,24kg
A10672;(B) TK Chef Patrick's Chicken Burger Cornflakes (halal) - 1kg
A03152;RUF Soßenpulver Vanille - 1kg
A04160;Primo Sale Siz. Trüffelkäse/Gourmet Tartufo - *ca. 800g
A04161;Primo Sale Siz. Olivenkäse/Gourmet Olive - *ca. 800g
A09570;Handtuchrolle/Werkstattrolle Blau 2-lagig - 2x500 Blatt
A99993;Emissionszuschlag
A05532;(B) Wernsing Snack Dressing - 5kg
A06288;Frisch Galiamelone per Stk.
A02041;(X)Glas Estrella Galicia Especial - 24x0,33L
A00043;Leergut Kiste 20er - 4,50 €
A00044;Leergut Kiste 24er - 5,10 €
A00049;Leergut Kiste 24er - 3,90 €
A00050;Leergut Kohlensäure - 75 €
A00051;Leergut Nutzungsflasche - 37 €
A00053;Leergut Gemüse Kiste - 3,86 €
A00055;Leergut H1 Palette - 70 €
A00058;Leergut Fleischbecken E2 - 5 €
A00052;Leergut Gemüse Kiste - 0,90 €
A00056;Leergut Kiste 15er - 3,75 €
A00057;Leergut Chep Palette - 0,01 €
A08907;Food To Go Box Asia (26oz) - 50Stk.
A05291;(B) Elite Joppiesoße - 5kg
A08080;(X)YOU TASTE Deckel für Aluschale 533 Rund - 100stk
A08081;(X)YOU TASTE Deckel für Aluschale 128 Eckig - 100stk
A00037;Leergut Kiste 20er - 3,10 €
A00038;Leergut Kiste 12er - 3,30 €
A02953;San Marzano Vermentino Timo IGP weiß&trocken 12,5%vol. (IT) - 0,75L
A02963;Costa Lazaridi Amethystos rot&trocken 14,5%vol. (GR) - 0,75L
A02252;Costa Lazaridi Tsipouro Idoniko mit Anis 43%vol. - 0,7L
A08921;Deckel für Suppenbecher (XPS) Weiß - 50Stk
A02962;Costa Lazaridi Amethystos weiß&trocken 12,5%vol. (GR) - 0,75L
A02964;Costa Lazaridi Amethystos rose&trocken 12,5%vol. (GR) - 0,75L
A02965;Costa Lazaridi Malagouzia weiß&trocken 13%vol. (GR) - 0,75L
A08908;Food To Go Box Braun ohne Druck (26oz) - 50Stk.
A06692;Cana Maiskölbchen medium - 3100ml
A03345;Frießinger Mühle Weizenmehl (Typ550) - 25kg
A06695;Grüne Feigen ganz - 425ml
A11471;TK Surgital Tortelli Ricotta/Spinat - 3kg
A11473;TK Surgital Orecchiette - 3kg
A03919;Frisch Lachsfilet Trimm C - *per kg
A08856;"Chicken-Box 12x21; 9x9cm - 100Stk."
A06086;(B) Art of Oil Arbequina Bio Olivenöl Extra - 500ml
A06693;Cana Spargelabschnitte ohne Köpfe - 3100ml
A03828;(B) Wernsing Tzatziki - 5kg
A06268;Frisch Koriander - 100g
A10640;TK Elif Hamburgerfleisch 62,5g - 5kg
A08917;"Kombiverpackung Sushi Schale & Deckel ""Nr. 14"" - 6x100Stk."
A08919;"Kombiverpackung Sushi Schale & Deckel ""Nr. 16"" - 4x100Stk."
A08922;"Kombiverpackung Sushi Schale & Deckel ""Nr. 17"" - 2x100Stk."
A09121;"Pizza Box Rollo Box ""Corona"" 28x8x7 - 200Stk."
A10729;(B) TK Sprehe Putenschnitzel paniert 160g - 3kg
A10730;TK Sprehe Putenschnitzel paniert 180g - 3kg
A11472;TK Surgital Strozzapreti - 3kg
A04824;(X)Frischli Panna Cotta - 1kg
A06665;La Valle Polpa Tomaten fein - 2x5kg
A11474;TK Surgital Rettangoli Lachs/Dill - 3kg
A06087;(B) Hela Unsere Weiße Vegane Mayonnaise BIB - 2x2,5kg
A06089;(B) Theo Balemasam Apfel-Limousin Essig - 500ml
A11470;TK Surgital Canneloni mit Rind/Schwein - 3kg
A02854;Cavino Ionos Rosewein - 2L
A06091;(B) Theo Balemasam Weißwein-Kräuter Essig - 500ml
A06185;Frisch Orangen Salustina Saftorangen 70Stk. - 15kg
A10163;TK Sprehe Grillhähnchen gesteckt o.Innereien ungewürzt - 10x1050g
A01476;Pet Uludag Gazoz - 6x0,5L
A09436;Lunchbox (Pappe) - Burgerlino - 100Stk.
A09440;"Lunchbox Pappe ""groß"" - 235x120x90mm - 100Stk."
A04679;(B)Gazi Hirtenkäse 45% - 15kg
A04828;(B)Frischli Schlagsahne 30% BIB - 5L
A10646;TK Salomon Hitburger Plus 100g - 5kg
A07747;Zwischensteg GN-Behälter o. Klemmf. 176mm - 4231
A07753;GN-Behälter Inox 2,/4 (530x162x40mm) 2L - 4185
A07755;Zwischensteg GN-Behälter o. Klemmf. 535mm - 4201
A07756;GN-Behälter Inox 1/2 (325x265x100mm) 6,5L - 4127
A07757;"Pizzateller mit Griff ""Pizzabäcker"" 32cm - 1378"
A02726;Parolvini Barone Nero Veneto 13%vol. - 1,5L
A09140;Pizza Box Miami 32x4 - 100Stk.
A09395;Pizza Box Pizzahaus Winterberg 28x28x4 - 100Stk.
A06263;Frisch Wildkräuter - 250g
A07746;Zwischensteg GN-Behälter o. Klemmf. 325mm - 4211
A07743;GN-Deckel Inox 1/9 (176x108mm) - 4196
A08226;(X)Trinkbecher mit Coca-Cola Druck 0,4L Pappe - 50Stk.
A04676;(B)Gazi Hirtenkäse 45% - 800g
A07730;Schaumlöffel - 14cm 38cm - 5966
A09435;Hamburgerbox, Medium (Pappe) - Burgerlino - 100Stk.
A09437;Hamburgerbox, Medium (Pappe) - Teufolino - 100Stk.
A09438;Lunchbox (Pappe) - Teufolino - 100Stk.
A08422;Bestecktasche braun (Serviette&Zitrotücher) - 200Stk.
A07754;GN-Behälter Inox 2/4 (530x162x100mm) 5,6L - 4187
A07758;"Pizzateller mit Griff ""Pizzabäcker"" 40cm - 1379"
A07759;Pide Schieber 80x22cm Griffbrett - 9410
A03161;Immenhof Bio Agavendicksaft, vegan - 1,5kg
A06269;Frisch Kopfsalat - per Stück
A08915;"Hamburgerpapier mit ""Fast-Food"" Druck (35x40cm) - 10kg"
A06276;Frisch Baby Spinat, gewaschen - 300g
A09080;"Bäckerfaltenbeutel mit Druck ""Bon Appetit"" 17+6x28cm - 1000Stk."
A11133;TK Bonduelle Stangenspargel grün - 1kg
A02318;Po di Poli GrappaSecca Merlot 40%vol. 0,7L
A99994;Vermarktungsbonus (Lieferant)
A06595;CANA Thunfischstücke in Öl - 1705g
A99995;Umsatzbonus (Lieferant)
A03164;Breitsamer Honigeimer flüssig - 2kg
A09439;Lunchbox Pappe, 110x192x80mm - 100Stk.
A99996;Rückvergütung (Lieferant) - 7% USt.
A07767;Pizzaschaufel gelocht - 45x45cm 150cm - 9418
A02319;Sarpa di Poli Grappa 40%vol - 0,7L
A02324;Sarpa Oro di Poli Grappa 40%vol. - 0,7L
A02523;Bottega Espresso Liquore/Kaffeelikör 20%vol. - 0,5L
A02525;Bottega Fior di Latte Liquore/weißer Schokoladenlikör 15%vol. - 0,5L
A02526;Bottega Gianduia Liquore/Nougatlikör 17%vol. - 0,5L
A02527;Bottega Star Millesimato extra trocken (Geschenkbox) 11%vol. - 0,75L
A02326;Cleopatra Grappa Amarone Oro 40%vol. - 0,7L
A02519;Bottega Millesimato Prosecco Spumante Brut DOC 11%vol. - 0,75L
A02524;Bottega Pistacchio Liquore/Pistazienlikör 17%vol. - 0,5L
A11350;TK Schne-frost Bratkartoffeln - 2,5kg
A11352;TK Schne-frost Rösti Plus Classic 65g - 1,3kg
A11359;TK Avita Gemüse-Rösti 75g - 2,5kg
A01045;(X)Dose Onelim Gazoz - 24x0,33L
A02322;UvaViva Italiana di Poli Grappa 40%vol. - 0,7L
A02325;Cleopatra Grappa Moscato Oro 40%vol. - 0,7L
A04050;TK Weideschaffilet Neuseeland - *per kg
A03559;MHD Bellitalia Tortelloni/groß mit Schweinefleisch - 500g
A01153;Glas Afri Cola ohne Zucker - 24x0,33
A02517;Bottega Rose Gold Spumante Brut DOC 11,5%vol. - 0,75L
A02522;Bottega Pesca Liquore/Pfirsichlikör 28%vol. - 0,5L
A09456;Duni Servietten 2-lagig 1/4 Falz weiß 33x33cm - 300Stk.
A09079;"Bäckerfaltenbeutel mit Druck ""Dürüm Kebab"" 10+4x22cm - 1000Stk."
A11354;TK Schne-frost Herzogin-Kartoffeln - 2,5kg
A11355;TK Avita Gemüse-Frikadelle 75g - 2,5kg
A11357;TK Avita Blumenkohl-Käse-Medaillon 75g - 2,5kg
A03587;Frisch Grantortelli Funghi Porcini/Steinpilze - 500g
A11351;TK Schne-frost Kartoffel-Kroketten - 2,5kg
A11358;"TK Avita Gemüse-Reis-Bällchen ""Asia"" - 1,2kg"
A02315;Poli Bomb Eierlikör 17%vol. - 0,7L
A02317;Po di Poli Grappa Morbida Moscato 40%vol. - 0,7L
A02516;Bottega Gold Prosecco Spumante Brut DOC 11%vol. - 0,75L
A02518;Bottega Gold Prosecco Spumante Brut DOC 11%vol. - 3L
A02520;Bottega Petalo Moscato Spumante 6,5%vol. - 0,75L
A11353;"TK Schne-frost Backofen Tellerrösti ""Schweizer Art"" - 2kg"
A08232;(B)TOP Klarsichtbecher+Deckel (250ml) eckig - 250Stk.
A02878;KULT Cuvée weiß&feinherb 12%vol. (DE) - 1L
A02873;Metzger Filet Blanc weiß&trocken 13%vol. (DE) - 0,75L
A04130;Schweinebacke mit Pfeffer luftgetrocknet (Guanciale) - *ca. 1200g
A04135;Provolone Dolce Käse - *ca. 300g
A04137;Schwarze Oliven mit Stein gewürzt&ofengetrocknet - 1,5kg
A06090;(B) Theo Balemasam Himbeer Essig - 500ml
A04027;Frisch Rinderoberschale Arg. o. Deckel PAD vac. - *ca. 4,5kg - *per kg
A04031;TK Lammlachse Neuseeland - *ca. 1,2kg - *per kg
A04033;TK Rinderfilet argentinisch 3/4 vac - *ca. 1,6kg - *per kg
A04034;TK Roastbeef argentinisch vac. 4-5kg - *per kg
A04039;TK Kaninchenkeule 275-325g - 5kg
A04041;TK Entenbrust Barbarie 170g-230g - *ca. 0,5kg - *per kg
A06189;Frisch Romana Salat (Römersalat) per Stk.
A11336;TK Surgital Bauletti mit Rinderschmorbraten und Barolo - 2kg
A02506;Librandi Duca Sanfelice Ciro Rosso 13%vol. - 3L
A11335;TK Surgital Lasagneplatten gelb - 10kg
A11337;TK Surgital Bauletti Steinpilze mit Taleggio Käse - 2kg
A11500;TK Eiswürfel - 5kg
A05613;Gyma Salatmayonnaise 50% - 10kg
A10895;TK Argentinische Rotgarnelen 16-20 o. Kopf m. Schale - 1kg
A10901;TK Tintenfisch Tentakel ganz gekocht - 800gr
A10900;TK Nordsee-Seezunge ganz (500-600g) - 10kg
A10905;TK Schollendoppelfilet paniert (160-180g) - 1kg
A06611;Ermilia Oliven schwarz ohne Kern Kalamata Jumbo (181-200) - 3000ml
A06612;Ermilia Oliven grün mit Kern Mammouth (101-110) - 3000ml
A06613;Ermilia Oliven grün ohne Kern Mammouth (101-110) - 3000ml
A06615;Ermilia Oliven grün gefüllt mit Mandeln Mammouth (101-110) - 3000ml
A06616;Ermilia Oliven grün gefüllt mit Knoblauch Mammouth (101-110) - 3000ml
A10912;TK Salmo Salar Lachsfilet portioniert 25x200g - 5kg
A10920;TK Forellen ohne Mittelgräten 280/300g - 5kg
A04129;Luftgetrockneter Schweinenacken Coppa Di Parma - *ca. 700g
A10766;TK Argentinische Rotgarnelen 16-20 o. Kopf o. Schale - 1kg
A03909;Frisch Kalbshüfte vac. - *per kg
A01221;Pet Sinalco Orange - 12x1L
A09996;TK Schulstad Vegane Brioche Hamburgerbrötchen ohne Sesam 120mm - 24x100g
A10513;TK Hülshorst Rinderhackfleisch gebraten - 2,5kg
A07495;(B) Hela Dipper Dosierspender
A06610;Ermilia Oliven schwarz mit Kern Kalamata Jumbo (181-200) - 3000ml
A06614;Ermilia Oliven grün&geschnitten - 3000ml
A01220;Pet Sinalco Cola - 12x1L
A10917;(X)TK Tintenfischtube mit Kopf 11/20 - 1kg
A11218;TK Lamb Weston Seasoned Twisters Skin On - 2,5kg
A07710;Bonschiene/-Leiste - 30cm - 6196
A07711;Bonschiene/-Leiste - 90cm - 6198
A07713;Magnet-Messerleiste - 45cm - 1345
A00061;"Leergut Kiste ""Italien Inside"" - 2,40 €"
A02966;(X)Costa Lazaridi Merlot rose&trocken 12,5%vol. (GR) - 0,75L
A10925;TK Wolfsbarsch ganz (300-400g) - 5kg
A05614;Topkauf Salatmayonnaise 50% - 10kg
A07499;Hexagonal Kohle - 20kg
A08511;Plastikmesser transparent - 50Stk.
A08513;(X)Plastiklöffel weiß - 50Stk.
A12013;TK Ardo Erdbeeren - 2,5kg
A07494;Holzkohle Premium Cuba - 15kg
A02858;Mega Spileo Cuvée III rot&trocken 14%vol. (GR) - 5L
A02859;Mount Athos Metochi Chromitsa Tsantali rot&trocken 13,5%vol. (GR) - 5L
A10512;TK Maishähnchenbrust-Supreme - *ca. 1kg
A10641;TK Elif Hamburgerfleisch 100g - 5kg
A10642;TK Elif Hamburgerfleisch 180g - 5,04kg
A03346;Ährenglück Weizenmehl (Typ550) - 25kg
A08512;(X)Plastikgabel weiß - 50Stk.
A08514;(X)Plastikmesser weiß - 50Stk.
A03999;(B) Frisch Premium Roastbeef Frimsa ca. 4-5kg
A10732;(B) TK Meat Selection Goldschnitzel 100g - 8kg
A07714;Schneebesen - 45cm - 32145
A07716;Bäckermesser Welle - 16''=41cm - 62241
A09426;(X)Pizza Box YOU TASTE 24x24x4 - 100Stk.
A09077;Knotenbeutel 22+12x47cm extra stark - 4000Stk.
A09427;(X)Pizza Box YOU TASTE 28x28x4 - 100Stk.
A09428;(X)Pizza Box YOU TASTE 32x32x4- 100Stk.
A02066;Glas Mythos Bier 4,7%vol. - 24x0,33L
A04663;Molkina Gouda 48% Blockware - *ca.15kg
A07693;Thermo Future Box Pizza 538x337x217 mm Nr. 10040
A07694;Thermo Future Box Pizza 538x337x217 mm Nr. 10030
A04025;Frisch Kalb Semerrolle vac. - *ca. 1kg
A04109;Best Salami Schwein ganz - *ca. 2,2kg
A04113;Sormani Salsiccia Curva Piccante - *ca.350g
A04665;Sormani Schafskäse Pecorino Pistazie - *ca.1kg
A04625;Galbani Gorgonzola Intenso - *ca.1,5kg
A04626;Gorgonzola Pizzeria D.O.P - *ca.1,5kg
A06250;Frisch Basilikum - 100g
A06251;Frisch Salbei - 150g
A06252;Frisch Mini Kartoffeln - 10kg
A03423;Zitzmann Spezialmehl (Typ00) - 10kg
A05714;(X) Bruckmann Salatmayonnaise 50% - 10kg
A06230;Frisch Minze - 100g
A06243;Frisch Paprika gelb - *per kg
A06245;Frisch Porree - *per kg
A06246;Frisch Staudensellerie - per Stk.
A04622;Provolone Dolce (Kugel) - *ca.1kg
A04623;Provolone Piccante Käse - *ca. 1kg
